Text,Sentiment,categorized_sentiment,CleanText
 Enjoying a beautiful day at the park!              ,Positive,Positive,Enjoying a beautiful day at the park!
 Traffic was terrible this morning.                 ,Negative,Negative,Traffic was terrible this morning.
 Just finished an amazing workout! 💪               ,Positive,Positive,Just finished an amazing workout!  flexed biceps
 Excited about the upcoming weekend getaway!        ,Positive,Positive,Excited about the upcoming weekend getaway!
 Trying out a new recipe for dinner tonight.        ,Neutral,Neutral,Trying out a new recipe for dinner tonight.
 Feeling grateful for the little things in life.    ,Positive,Positive,Feeling grateful for the little things in life.
 Rainy days call for cozy blankets and hot cocoa.   ,Positive,Positive,Rainy days call for cozy blankets and hot cocoa.
 The new movie release is a must-watch!             ,Positive,Positive,The new movie release is a must-watch!
 Political discussions heating up on the timeline.  ,Negative,Negative,Political discussions heating up on the timeline.
 Missing summer vibes and beach days.               ,Neutral,Neutral,Missing summer vibes and beach days.
 Just published a new blog post. Check it out!      ,Positive,Positive,Just published a new blog post. Check it out!
 Feeling a bit under the weather today.             ,Negative,Negative,Feeling a bit under the weather today.
 Exploring the city's hidden gems.                  ,Positive,Positive,Exploring the city's hidden gems.
" New year, new fitness goals! 💪                    ",Positive,Positive,"New year, new fitness goals!  flexed biceps"
 Technology is changing the way we live.            ,Neutral,Neutral,Technology is changing the way we live.
 Reflecting on the past and looking ahead.          ,Positive,Positive,Reflecting on the past and looking ahead.
 Just adopted a cute furry friend! 🐾              ,Positive,Positive,Just adopted a cute furry friend!  paw prints
 Late-night gaming session with friends.            ,Positive,Positive,Late-night gaming session with friends.
 Attending a virtual conference on AI.              ,Neutral,Neutral,Attending a virtual conference on AI.
 Winter blues got me feeling low.                   ,Negative,Negative,Winter blues got me feeling low.
 Sipping coffee and enjoying a good book.           ,Positive,Positive,Sipping coffee and enjoying a good book.
 Exploring the world of virtual reality.            ,Positive,Positive,Exploring the world of virtual reality.
 Productive day ticking off my to-do list.          ,Positive,Positive,Productive day ticking off my to-do list.
 Just finished a challenging workout routine.       ,Positive,Positive,Just finished a challenging workout routine.
 Celebrating a milestone at work! 🎉               ,Positive,Positive,Celebrating a milestone at work!  party popper
 Sunday brunch with friends.                        ,Positive,Positive,Sunday brunch with friends.
 Learning a new language for personal growth.       ,Positive,Positive,Learning a new language for personal growth.
 Quiet evening with a good book.                    ,Positive,Positive,Quiet evening with a good book.
